Fecha,Mexico,US,Internacional
40273,33648.89063,1453.147384,521.2535755
40274,33801.21094,1453.847436,520.8887394
40275,33632.35156,1454.928476,519.4767994
40276,33567.35156,1450.371695,516.3064358
40277,33840.85156,1455.401737,520.4385
40280,33852.39063,1455.104404,520.2356942
40281,33819.03906,1459.685203,520.506949
40282,34113.92969,1476.554746,527.0711636
40283,34134.23047,1475.650539,525.4624848
40284,33621.39063,1463.914604,518.0609525
40287,33439.76953,1465.996334,515.5031135
40288,33813.16016,1475.703003,518.9620556
40289,33517.17969,1468.709767,514.1579763
40290,33658.37109,1476.407657,512.631394
40291,33853.69141,1482.427676,514.4259
40294,33771.55078,1472.703576,512.746
40295,32679.35938,1465.562093,503.3230806
40296,32952.85938,1472.146371,502.8826357
40297,32861,1473.428444,504.4718682
40298,32687.32031,1461.576833,501.1753566
40301,32687.32031,1474.768875,503.27178
40302,32120.65039,1473.583242,495.54128
40303,31995.2793,1486.791504,492.288096
40304,31398.9707,1465.102882,482.573293
40305,31488.82031,1426.687006,476.50268
40308,32276.91992,1445.855186,489.5444679
40309,32119.10938,1449.530236,485.6796074
40310,32379.63086,1452.903443,486.2804364
40311,32342.42969,1440.850953,482.6024452
40312,31812.73047,1432.827299,476.6864994
40315,31580.63086,1433.673282,475.7103086
40316,31136.34961,1435.842586,473.6747775
40317,30992.75977,1431.142706,473.54739
40318,30368.08008,1409.989215,465.0578241
40319,30629.15039,1411.927057,471.0305859
40322,30759.48047,1402.373416,465.591598
40323,30634.16992,1401.347322,463.086686
40324,31328.49023,1401.569234,460.8687462
40325,32056.16016,1417.296062,476.0149328
40326,31547.55078,1414.897855,472.7106849
40330,31245.83008,1393.857612,467.9462241
40331,31411.91016,1408.836895,474.3795205
40332,31331.85938,1411.552487,471.3675128
40333,30992.65039,1383.564686,459.418094
40336,30739.00977,1369.281272,454.955997
40337,31059.83008,1370.099025,458.6271941
40338,31209.33008,1363.283394,454.299234
40339,31910.2207,1384.53503,467.050654
40340,32124.2793,1387.408128,465.6317886
40343,32238.41016,1388.926306,468.7673633
40344,32685.40039,1408.0528,478.612233
40345,32805.62891,1409.699543,477.9581434
40346,32775.33984,1410.810899,479.7059166
40347,32814.62109,1401.071892,478.769564
40350,32882,1396.312721,478.513758
40351,32470.69922,1382.11598,474.5386674
40352,32663.28906,1378.85402,470.7265986
40353,32312.75977,1365.770081,466.2333556
40354,32607.13086,1363.519986,467.3156006
40357,32568.18945,1368.233213,467.7415666
40358,31473.19922,1343.475307,457.1503071
40359,31156.9707,1334.603647,454.4789809
40360,31197.03906,1336.188306,461.6065
40361,31379.66992,1336.581781,462.9647662
40365,31533.58008,1333.092369,467.949503
40366,32035.18945,1362.123472,476.5057152
40367,31960.64063,1367.993895,476.8063395
40368,32004.31055,1378.206551,479.870181
40371,31870.55078,1384.814951,478.7821544
40372,32185.19922,1389.721231,481.32054
40373,32305.71094,1392.993625,483.7683454
40374,32381.06055,1399.791,486.7617372
40375,31783.39063,1377.140642,478.2419729
40378,31845.88086,1383.079694,480.0623554
40379,32024.26953,1383.369542,480.506664
40380,32108.99023,1376.052933,476.8054643
40381,32720.75977,1395.691609,487.969289
40382,32806.03125,1405.762253,492.226852
40385,32958.89063,1413.699451,493.1981067
40386,32695.31055,1413.662033,493.4827133
40387,32665.56055,1408.127316,491.9488415
40388,32463.7207,1402.369347,495.89631
40389,32308.74023,1393.040872,493.4449926
40392,32816.51953,1417.144026,503.7170483
40393,32768.07813,1412.120383,503.4658098
40394,32900.48047,1413.71789,501.815385
40395,32907.19141,1416.357755,502.4085114
40396,32917.92188,1425.644659,507.645696
40399,32837.57031,1425.142845,506.1597026
40400,32685.51953,1415.538442,501.6987052
40401,32058.57031,1395.728248,486.7809512
40402,32041.13086,1382.751232,484.9748745
40403,32099.75,1378.677965,484.9748745
40406,32119.88086,1369.922065,485.9136253
40407,32286.08008,1380.06682,489.3639926
40408,32408.30078,1386.537923,491.39439
40409,32153.63086,1370.615362,487.7449373
40410,32291.66992,1371.545137,485.58285
40413,32142.66992,1384.129695,490.104909
